REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,5.2,4.4,4.5,4.3,4.0,3.5,3.7,4.0,5.7,4.9,3.8,5.6,7.8,8.7
Dolnośląskie,5.4,4.4,4.5,4.1,4.2,3.7,4.3,3.3,6.1,6.3,5.0,8.6,11.4,11.0
Kujawsko-Pomorskie,4.2,3.7,3.9,3.9,3.8,2.9,3.3,3.8,4.7,5.2,3.9,7.5,11.4,12.0
Lubelskie,5.8,5.0,5.1,4.9,4.5,3.3,4.3,4.3,6.6,5.4,4.4,6.2,7.9,8.0
Lubuskie,4.4,3.3,2.9,2.8,2.5,2.5,2.6,2.2,3.7,2.9,2.6,2.8,2.9,3.7
Łódzkie,4.1,3.4,3.1,3.1,2.7,2.4,2.8,2.8,4.6,3.1,2.8,3.1,3.6,3.8
Małopolskie,4.7,4.1,4.6,4.7,4.2,3.9,3.8,5.8,6.7,5.6,5.0,8.0,12.9,14.6
Mazowieckie,7.5,6.6,6.9,6.7,6.5,6.1,5.8,5.7,8.6,7.6,5.9,7.4,9.2,11.1
Opolskie,4.9,4.5,3.6,3.1,2.6,2.3,2.6,3.4,3.7,3.1,2.7,4.0,6.7,5.3
Podkarpackie,3.3,3.0,3.0,2.6,1.9,1.9,2.0,2.1,3.6,2.5,2.0,3.7,4.1,5.2
Podlaskie,5.0,4.7,4.1,3.7,3.2,3.3,3.7,3.3,5.2,4.3,3.0,3.7,7.9,11.1
Pomorskie,6.4,5.3,6.1,5.8,5.3,5.0,5.5,5.3,7.0,6.0,4.2,6.8,7.7,9.2
Śląskie,5.5,4.5,4.5,4.5,3.7,3.1,3.6,4.5,6.1,5.0,3.4,4.3,7.0,8.5
Świętokrzyskie,4.2,3.3,3.3,3.1,3.0,2.5,2.8,2.9,3.2,2.5,2.1,3.1,3.5,3.4
Warmińsko-Mazurskie,3.8,3.0,2.9,2.8,2.7,2.5,2.4,2.4,3.2,3.1,2.2,3.3,5.5,7.0
Wielkopolskie,4.6,3.7,3.6,3.7,3.3,2.4,2.4,2.8,4.2,3.8,2.7,4.0,6.5,6.1
Zachodniopomorskie,4.8,3.7,3.1,3.2,3.3,2.6,2.6,2.7,4.4,3.3,2.7,4.0,5.3,6.5
