REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,12.4,13.9,15.9,19.3,22.6,25.4,29.0,33.2,36.0,41.8
Dolnośląskie,,,,,,17.6,20.8,22.6,28.3,32.4,37.4,41.8,45.8,49.4,56.0
Kujawsko-Pomorskie,,,,,,8.8,10.0,12.5,16.1,19.1,22.1,26.2,31.1,34.7,40.1
Lubelskie,,,,,,8.0,9.2,10.5,12.9,15.5,18.7,23.2,26.0,28.4,32.9
Lubuskie,,,,,,14.5,15.3,18.3,20.6,23.3,26.9,32.1,38.2,41.6,48.9
Łódzkie,,,,,,10.2,12.3,14.6,17.5,19.2,21.7,25.1,30.6,32.3,35.9
Małopolskie,,,,,,12.5,13.0,17.0,19.9,23.1,25.9,28.3,31.8,35.3,40.7
Mazowieckie,,,,,,15.5,16.6,18.2,22.7,28.6,30.7,34.3,39.0,40.9,46.2
Opolskie,,,,,,18.1,19.3,21.9,24.1,27.5,30.8,34.2,40.5,44.3,49.2
Podkarpackie,,,,,,10.1,11.5,14.3,16.3,18.0,20.6,23.4,26.4,29.4,36.3
Podlaskie,,,,,,11.6,13.2,13.7,17.1,20.1,22.1,26.3,30.2,33.6,39.5
Pomorskie,,,,,,12.7,12.6,13.6,17.6,21.0,24.3,28.0,32.8,35.1,40.1
Śląskie,,,,,,11.1,12.8,14.7,17.6,20.5,24.0,27.7,30.8,34.7,42.3
Świętokrzyskie,,,,,,7.8,8.9,10.6,12.2,13.8,16.0,19.3,22.6,25.2,31.9
Warmińsko-Mazurskie,,,,,,7.9,10.2,11.6,13.4,15.7,17.3,19.9,24.5,26.6,33.3
Wielkopolskie,,,,,,12.4,14.7,16.0,19.3,21.4,23.5,26.5,30.3,32.8,38.6
Zachodniopomorskie,,,,,,14.5,17.1,17.9,22.6,26.8,29.8,34.0,38.7,40.6,46.8
