REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,ogółem,,,,,,48.4,49.4,49.5,50.6,51.3,51.8,52.7,53.1,54.0
DOLNOŚLĄSKIE,ogółem,,,,,,58.2,59.2,59.3,59.9,61.0,61.0,61.2,61.5,62.7
KUJAWSKO-POMORSKIE,ogółem,,,,,,50.4,50.4,51.2,50.7,49.7,49.6,49.8,49.6,50.2
LUBELSKIE,ogółem,,,,,,27.9,28.4,28.1,29.2,30.1,32.4,32.9,33.5,34.0
LUBUSKIE,ogółem,,,,,,49.8,51.6,52.2,53.9,54.1,54.7,55.1,54.4,55.4
ŁÓDZKIE,ogółem,,,,,,33.6,34.6,35.0,35.8,36.4,37.4,38.0,38.4,39.4
MAŁOPOLSKIE,ogółem,,,,,,45.9,46.9,47.4,48.1,49.3,47.1,51.2,52.0,52.7
MAZOWIECKIE,ogółem,,,,,,39.4,41.2,41.9,42.8,43.5,44.1,44.7,45.0,46.0
OPOLSKIE,ogółem,,,,,,58.1,59.5,59.5,61.6,62.4,63.0,65.0,64.6,65.5
PODKARPACKIE,ogółem,,,,,,60.3,60.9,61.0,62.2,63.4,64.7,66.3,67.3,68.4
PODLASKIE,ogółem,,,,,,38.2,38.8,39.0,39.3,39.9,40.6,41.0,41.3,42.5
POMORSKIE,ogółem,,,,,,64.9,65.6,65.7,66.1,66.8,67.2,67.8,68.1,68.8
ŚLĄSKIE,ogółem,,,,,,57.0,58.0,55.9,59.5,60.3,60.6,61.1,61.7,63.4
ŚWIĘTOKRZYSKIE,ogółem,,,,,,41.9,43.0,43.7,44.3,45.1,46.0,47.0,48.4,49.5
WARMIŃSKO-MAZURSKIE,ogółem,,,,,,53.5,53.9,54.1,54.2,54.4,54.5,55.1,55.2,55.2
WIELKOPOLSKIE,ogółem,,,,,,56.1,56.9,58.0,58.8,59.3,60.4,60.4,60.5,61.0
ZACHODNIOPOMORSKIE,ogółem,,,,,,61.2,61.3,60.9,61.5,61.9,61.1,60.6,60.1,60.3
POLSKA,miasto,,,,,,72.7,73.5,73.2,74.6,74.9,75.3,75.5,75.9,76.8
DOLNOŚLĄSKIE,miasto,,,,,,80.6,81.6,81.6,82.6,83.1,83.1,82.3,83.3,83.3
KUJAWSKO-POMORSKIE,miasto,,,,,,82.7,82.8,84.3,81.5,78.7,77.9,78.4,77.9,78.6
LUBELSKIE,miasto,,,,,,60.8,61.6,62.1,62.9,64.4,71.3,72.3,74.0,74.1
LUBUSKIE,miasto,,,,,,71.0,72.1,72.0,75.5,74.8,75.7,75.9,74.1,75.5
ŁÓDZKIE,miasto,,,,,,58.0,59.2,59.8,61.4,62.0,62.6,63.0,63.6,64.6
MAŁOPOLSKIE,miasto,,,,,,76.4,74.3,74.5,74.0,75.1,76.1,76.2,76.6,76.4
MAZOWIECKIE,miasto,,,,,,64.0,66.6,67.5,68.4,68.6,69.1,69.2,70.2,71.3
OPOLSKIE,miasto,,,,,,81.3,81.0,79.7,84.6,84.7,83.5,86.9,86.7,87.4
PODKARPACKIE,miasto,,,,,,81.7,81.8,81.1,81.3,81.8,82.9,84.8,86.0,87.2
PODLASKIE,miasto,,,,,,75.8,76.3,76.6,76.6,77.4,77.1,78.0,79.2,80.4
POMORSKIE,miasto,,,,,,78.2,78.5,78.2,78.7,78.9,79.2,80.4,80.8,81.5
ŚLĄSKIE,miasto,,,,,,68.6,70.3,66.4,72.0,72.6,72.4,72.3,73.0,74.9
ŚWIĘTOKRZYSKIE,miasto,,,,,,76.1,76.2,77.6,77.3,78.2,78.2,78.3,78.4,78.6
WARMIŃSKO-MAZURSKIE,miasto,,,,,,82.0,82.5,82.2,82.3,81.3,81.7,81.5,81.2,80.6
WIELKOPOLSKIE,miasto,,,,,,79.5,80.0,81.4,81.1,81.4,81.9,81.3,80.9,82.1
ZACHODNIOPOMORSKIE,miasto,,,,,,76.8,76.9,76.2,77.1,77.0,72.6,71.6,71.0,71.3
POLSKA,wieś,,,,,,33.9,35.0,35.4,36.2,37.2,37.7,39.1,39.5,40.5
DOLNOŚLĄSKIE,wieś,,,,,,39.3,40.5,40.8,41.4,43.5,43.8,44.8,44.8,47.0
KUJAWSKO-POMORSKIE,wieś,,,,,,31.7,31.9,32.0,32.5,32.7,33.1,33.4,33.2,33.8
LUBELSKIE,wieś,,,,,,17.2,17.5,17.1,18.0,18.9,19.6,19.7,19.9,20.6
LUBUSKIE,wieś,,,,,,32.7,35.2,36.1,36.3,37.1,37.6,38.3,38.7,39.5
ŁÓDZKIE,wieś,,,,,,19.3,19.9,20.3,20.7,21.4,22.4,22.9,23.2,24.1
MAŁOPOLSKIE,wieś,,,,,,33.7,35.9,36.5,37.5,38.8,36.5,41.2,42.2,43.1
MAZOWIECKIE,wieś,,,,,,24.5,25.8,26.4,27.2,28.2,29.0,29.7,29.7,30.7
OPOLSKIE,wieś,,,,,,48.2,50.3,50.1,50.4,51.5,53.0,54.4,53.8,54.8
PODKARPACKIE,wieś,,,,,,52.9,53.6,53.9,55.3,56.7,58.1,59.3,60.4,61.4
PODLASKIE,wieś,,,,,,17.4,18.2,18.4,18.7,19.0,20.0,20.2,20.6,21.9
POMORSKIE,wieś,,,,,,54.9,56.1,56.6,57.1,58.3,59.0,59.5,59.9,60.8
ŚLĄSKIE,wieś,,,,,,41.8,42.2,42.4,43.3,44.3,45.3,46.4,47.0,48.3
ŚWIĘTOKRZYSKIE,wieś,,,,,,30.6,32.1,32.5,32.9,33.2,34.2,35.5,37.2,38.6
WARMIŃSKO-MAZURSKIE,wieś,,,,,,37.2,37.7,38.2,38.5,39.2,39.4,40.5,41.0,41.5
WIELKOPOLSKIE,wieś,,,,,,41.1,42.1,43.1,44.7,45.5,45.9,47.4,47.9,48.2
ZACHODNIOPOMORSKIE,wieś,,,,,,47.3,47.4,47.1,47.5,48.2,50.4,50.8,50.5,50.6
